output_tag,mode,checkpoint,prompt_template,bidirectional,threshold,lr,batch_size,grad_accum_steps,epochs,max_train_examples,max_dev_examples,max_length,dev_acc,dev_f1,selected_threshold,para_dev_out,para_test_out
gpu-smoke-baseline,train_dev,checkpoints/gpu-smoke-baseline-paraphrase.pt,baseline,False,0.5,1e-05,1,1,1,16,16,128,0.75,,,predictions/para-dev-gpu-smoke-baseline.csv,predictions/para-test-output.csv
gpu-smoke-baseline,dev_predict,checkpoints/gpu-smoke-baseline-paraphrase.pt,baseline,False,0.5,1e-05,1,1,1,16,16,128,0.75,0.42857142857142855,,predictions/para-dev-gpu-smoke-baseline.csv,predictions/para-test-output.csv
screen-baseline,train_dev,checkpoints/screen-baseline-paraphrase.pt,baseline,False,0.5,1e-05,4,2,1,5000,1000,128,0.708,,,predictions/para-dev-screen-baseline.csv,predictions/para-test-output.csv
screen-baseline,dev_predict,checkpoints/screen-baseline-paraphrase.pt,baseline,False,0.5,1e-05,4,2,1,5000,1000,128,0.708,0.6127238774297598,,predictions/para-dev-screen-baseline.csv,predictions/para-test-output.csv
screen-direct,train_dev,checkpoints/screen-direct-paraphrase.pt,direct,False,0.5,1e-05,4,2,1,5000,1000,128,0.747,,,predictions/para-dev-screen-direct.csv,predictions/para-test-output.csv
screen-direct,dev_predict,checkpoints/screen-direct-paraphrase.pt,direct,False,0.5,1e-05,4,2,1,5000,1000,128,0.747,0.7210507456104083,,predictions/para-dev-screen-direct.csv,predictions/para-test-output.csv
screen-meaning,train_dev,checkpoints/screen-meaning-paraphrase.pt,meaning,False,0.5,1e-05,4,2,1,5000,1000,128,0.676,,,predictions/para-dev-screen-meaning.csv,predictions/para-test-output.csv
screen-meaning,dev_predict,checkpoints/screen-meaning-paraphrase.pt,meaning,False,0.5,1e-05,4,2,1,5000,1000,128,0.676,0.5248598043126305,,predictions/para-dev-screen-meaning.csv,predictions/para-test-output.csv
gpu-smoke-baseline,train_dev,checkpoints/gpu-smoke-baseline-paraphrase.pt,baseline,False,0.5,1e-05,1,1,1,16,16,128,0.75,,,predictions/para-dev-gpu-smoke-baseline.csv,predictions/para-test-output.csv
gpu-smoke-baseline,dev_predict,checkpoints/gpu-smoke-baseline-paraphrase.pt,baseline,False,0.5,1e-05,1,1,1,16,16,128,0.75,0.42857142857142855,,predictions/para-dev-gpu-smoke-baseline.csv,predictions/para-test-output.csv
screen-baseline,train_dev,checkpoints/screen-baseline-paraphrase.pt,baseline,False,0.5,1e-05,4,2,1,5000,1000,128,0.708,,,predictions/para-dev-screen-baseline.csv,predictions/para-test-output.csv
screen-baseline,dev_predict,checkpoints/screen-baseline-paraphrase.pt,baseline,False,0.5,1e-05,4,2,1,5000,1000,128,0.708,0.6127238774297598,,predictions/para-dev-screen-baseline.csv,predictions/para-test-output.csv
screen-direct,train_dev,checkpoints/screen-direct-paraphrase.pt,direct,False,0.5,1e-05,4,2,1,5000,1000,128,0.747,,,predictions/para-dev-screen-direct.csv,predictions/para-test-output.csv
screen-direct,dev_predict,checkpoints/screen-direct-paraphrase.pt,direct,False,0.5,1e-05,4,2,1,5000,1000,128,0.747,0.7210507456104083,,predictions/para-dev-screen-direct.csv,predictions/para-test-output.csv
screen-meaning,train_dev,checkpoints/screen-meaning-paraphrase.pt,meaning,False,0.5,1e-05,4,2,1,5000,1000,128,0.676,,,predictions/para-dev-screen-meaning.csv,predictions/para-test-output.csv
screen-meaning,dev_predict,checkpoints/screen-meaning-paraphrase.pt,meaning,False,0.5,1e-05,4,2,1,5000,1000,128,0.676,0.5248598043126305,,predictions/para-dev-screen-meaning.csv,predictions/para-test-output.csv
full-direct,train_dev,checkpoints/full-direct-paraphrase.pt,direct,False,0.5,1e-05,4,2,3,,,128,0.8867397165401073,,,predictions/para-dev-full-direct.csv,predictions/para-test-output.csv
full-direct,dev_predict,checkpoints/full-direct-paraphrase.pt,direct,False,0.5,1e-05,4,2,3,,,128,0.8867397165401073,0.880403060036592,,predictions/para-dev-full-direct.csv,predictions/para-test-output.csv
full-direct-bi,dev_predict,checkpoints/full-direct-paraphrase.pt,direct,True,0.5,1e-05,8,1,10,,,128,0.890004699596824,0.8837806526484376,,predictions/para-dev-full-direct-bi.csv,predictions/para-test-output.csv
full-direct-bi-calib,calibrate_dev,checkpoints/full-direct-paraphrase.pt,direct,True,0.5,1e-05,8,1,10,,,128,0.8915629869648025,0.8844011846306611,0.56,predictions/para-dev-full-direct-bi-calib.csv,predictions/para-test-output.csv
full-direct-bi-error,error_analysis,checkpoints/full-direct-paraphrase.pt,direct,True,0.56,1e-05,8,1,10,,,128,NA,NA,,predictions/para-dev-full-direct-bi-error.csv,predictions/para-test-output.csv
full-direct-final,test_predict,checkpoints/full-direct-paraphrase.pt,direct,True,0.56,1e-05,8,1,10,,,128,,,,predictions/para-dev-full-direct-final.csv,predictions/para-test-final.csv
