id,sentence1,sentence2,gold,pred,yes_prob,error_type,notes
653 45e4f8ee-b167-4000-98b8-fd3176b868bf,is (male) circumcision required in islam ?,is circumcision allowed in islam ?,0,1,0.952562,similar_words_different_meaning,false_positive
41054 c6f4b6ad-989d-4e1f-a07a-fbd5572cecf7,how can i become a king ?,how can i become king of the world ?,0,1,0.928027,similar_words_different_meaning,false_positive
359864 f2a94b64-513d-40a0-b4eb-1b7cf430242a,how do i unsubscribe from quora ?,how do i delete my quora account ?,0,1,0.841067,similar_words_different_meaning,false_positive
152664 92f6b962-697b-46e1-8bd4-7b1267d3d84a,what is the proof for triangular law of vectors ?,what is the triangular law of vectors ?,0,1,0.792415,similar_words_different_meaning,false_positive
372607 d1cbca8b-9c02-4f51-a717-5ac6dab884d3,what would you like your greatest accomplishment to be ?,what is your greatest accomplishment to date ?,0,1,0.605463,similar_words_different_meaning,false_positive
233295 bec7a0fb-ae92-4c88-9764-7fcd303420a6,which is the hardest university to be accepted into ?,what is the hardest university in the world and why ?,0,1,0.622623,needs_manual_review,false_positive
15390 104fe1d3-6cff-48ec-8594-e33046868bf1,when did crop circles start appearing ?,"what causes crop circles , and how are they made ?",0,1,0.777481,number_or_condition,false_positive
107190 4cea0935-7a9f-405d-ade5-9863bc53a444,how should i be emotionally strong ?,how do i become mentally strong ?,0,1,0.776541,needs_manual_review,false_positive
211138 b3301ccf-df75-4b67-bd48-a729ec6db4e7,how do i ask my co-worker out on a date without ruining work or making it awkward ?,i have a crush on a co-worker but we don 't work in the same team and have no communication whatsoever . how can i ask her out without coming off as creepy or spoiling work place relations ?,0,1,0.590438,needs_manual_review,false_positive
283891 9054baa8-9971-4d68-b152-c1330cb97213,what are the things that rest of the world should learn from india ?,what should indians learn from the rest of the world ?,0,1,0.941948,entity_or_name,false_positive
121704 283e69d7-4c3f-458f-9a8a-9bc51258bfaa,what do nobel prize winners get ?,are there any nobel prize winners on quora ?,0,1,0.577429,entity_or_name,false_positive
127634 34c65fc1-1420-4cc9-9abf-b028b5dfda81,which is better bca or b . tech ? why ?,which is the best option for a computer geek: bca or b .tech ?,0,1,0.791975,needs_manual_review,false_positive
55911 bb112462-a1ef-483d-b937-acbf44604474,what is definition of mathematics ?,what is the modern definition of mathematics ?,0,1,0.932006,similar_words_different_meaning,false_positive
