output_tag,mode,checkpoint,prompt_template,bidirectional,threshold,lr,batch_size,grad_accum_steps,epochs,max_train_examples,max_dev_examples,max_length,dev_acc,dev_f1,selected_threshold,para_dev_out,para_test_out
rerun-20260611-screen-baseline,train_dev,checkpoints/rerun-20260611/screen-baseline-paraphrase.pt,baseline,False,0.5,1e-05,4,2,1,5000,1000,128,0.708,,,predictions/rerun-20260611/para-dev-screen-baseline.csv,predictions/para-test-output.csv
rerun-20260611-screen-baseline,dev_predict,checkpoints/rerun-20260611/screen-baseline-paraphrase.pt,baseline,False,0.5,1e-05,4,2,1,5000,1000,128,0.708,0.6127238774297598,,predictions/rerun-20260611/para-dev-screen-baseline.csv,predictions/para-test-output.csv
rerun-20260611-screen-direct,train_dev,checkpoints/rerun-20260611/screen-direct-paraphrase.pt,direct,False,0.5,1e-05,4,2,1,5000,1000,128,0.747,,,predictions/rerun-20260611/para-dev-screen-direct.csv,predictions/para-test-output.csv
rerun-20260611-screen-direct,dev_predict,checkpoints/rerun-20260611/screen-direct-paraphrase.pt,direct,False,0.5,1e-05,4,2,1,5000,1000,128,0.747,0.7210507456104083,,predictions/rerun-20260611/para-dev-screen-direct.csv,predictions/para-test-output.csv
rerun-20260611-screen-meaning,train_dev,checkpoints/rerun-20260611/screen-meaning-paraphrase.pt,meaning,False,0.5,1e-05,4,2,1,5000,1000,128,0.676,,,predictions/rerun-20260611/para-dev-screen-meaning.csv,predictions/para-test-output.csv
rerun-20260611-screen-meaning,dev_predict,checkpoints/rerun-20260611/screen-meaning-paraphrase.pt,meaning,False,0.5,1e-05,4,2,1,5000,1000,128,0.676,0.5248598043126305,,predictions/rerun-20260611/para-dev-screen-meaning.csv,predictions/para-test-output.csv
rerun-20260611-full-direct,train_dev,checkpoints/rerun-20260611/full-direct-paraphrase.pt,direct,False,0.5,1e-05,4,2,3,,,128,0.8867397165401073,,,predictions/rerun-20260611/para-dev-full-direct.csv,predictions/para-test-output.csv
rerun-20260611-full-direct,dev_predict,checkpoints/rerun-20260611/full-direct-paraphrase.pt,direct,False,0.5,1e-05,4,2,3,,,128,0.8867397165401073,0.880403060036592,,predictions/rerun-20260611/para-dev-full-direct.csv,predictions/para-test-output.csv
rerun-20260611-full-direct,dev_predict,checkpoints/rerun-20260611/full-direct-paraphrase.pt,direct,False,0.5,1e-05,8,1,10,,,128,0.8867397165401073,0.880403060036592,,predictions/rerun-20260611/para-dev-full-direct.csv,predictions/para-test-output.csv
rerun-20260611-full-direct-bi,dev_predict,checkpoints/rerun-20260611/full-direct-paraphrase.pt,direct,True,0.5,1e-05,8,1,10,,,128,0.890004699596824,0.8837806526484376,,predictions/rerun-20260611/para-dev-full-direct-bi.csv,predictions/para-test-output.csv
rerun-20260611-full-direct-bi-calib,calibrate_dev,checkpoints/rerun-20260611/full-direct-paraphrase.pt,direct,True,0.5,1e-05,8,1,10,,,128,0.8915629869648025,0.8844011846306611,0.56,predictions/rerun-20260611/para-dev-full-direct-bi-calib.csv,predictions/para-test-output.csv
rerun-20260611-full-direct-bi-error,error_analysis,checkpoints/rerun-20260611/full-direct-paraphrase.pt,direct,True,0.56,1e-05,8,1,10,,,128,NA,NA,,predictions/para-dev-rerun-20260611-full-direct-bi-error.csv,predictions/para-test-output.csv
rerun-20260611-final,test_predict,checkpoints/rerun-20260611/full-direct-paraphrase.pt,direct,True,0.56,1e-05,8,1,10,,,128,,,,predictions/para-dev-rerun-20260611-final.csv,predictions/rerun-20260611/para-test-final.csv
